<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BSESN,D,20131220,000000,20792.3700,21117.9900,20745.9400,21079.7200,9100,0
^BSESN,D,20131223,000000,21080.5400,21207.8900,21059.1200,21101.0300,6700,0
^BSESN,D,20131224,000000,21127.6600,21156.9200,21010.6500,21032.7100,5800,0
^BSESN,D,20131230,000000,21260.1500,21304.7000,21089.2100,21143.0100,6100,0
^BSESN,D,20131231,000000,21177.7700,21230.8800,21122.6800,21170.6800,5000,0
^BSESN,D,20140101,000000,21222.1900,21244.3500,21133.8200,21140.4800,4000,0
^BSESN,D,20140113,000000,20850.5400,21169.0800,20850.5400,21134.2100,7900,0
^BSESN,D,20140114,000000,21115.0000,21154.7600,21009.0500,21032.8800,5600,0
^BSESN,D,20140115,000000,21091.4600,21302.7300,21091.4600,21289.4900,9400,0
^BSESN,D,20140121,000000,21237.9600,21302.5200,21189.2000,21251.1200,9400,0
^BSESN,D,20140122,000000,21251.6500,21377.9100,21168.4300,21337.6700,13400,0
^BSESN,D,20140127,000000,20899.0300,20899.0300,20688.0300,20707.4500,10100,0
^BSESN,D,20140128,000000,20721.1700,20795.3500,20554.2800,20683.5100,8200,0
^BSESN,D,20140129,000000,20784.0400,20828.6800,20613.6200,20647.3000,7800,0
^BSESN,D,20140130,000000,20491.7400,20528.4100,20343.7800,20498.2500,12600,0
^BSESN,D,20140131,000000,20544.6400,20572.3200,20448.4300,20513.8500,6100,0
^BSESN,D,20140203,000000,20479.0300,20480.3500,20182.2000,20209.2600,5700,0
^BSESN,D,20140204,000000,20050.9900,20255.5200,19963.1200,20211.9300,9800,0
^BSESN,D,20140205,000000,20241.1200,20289.3300,20076.1000,20261.0300,9300,0
^BSESN,D,20140210,000000,20429.1600,20434.5000,20312.2100,20334.2700,7900,0
^BSESN,D,20140217,000000,20438.8700,20492.4300,20338.9500,20464.0600,6100,0
^BSESN,D,20140304,000000,20947.0000,21224.6400,20940.3900,21209.7300,9700,0
^BSESN,D,20140305,000000,21280.3600,21333.2000,21176.1600,21276.8600,7500,0
^BSESN,D,20140306,000000,21336.3200,21525.1400,21329.8800,21513.8700,9700,0
^BSESN,D,20140307,000000,21539.4400,21960.8900,21539.4400,21919.7900,15200,0
^BSESN,D,20140313,000000,21736.6100,21991.3600,21720.1300,21774.6100,9500,0
^BSESN,D,20140314,000000,21648.0500,21853.3200,21573.4800,21809.8000,8800,0
^BSESN,D,20140320,000000,21797.6100,21853.2500,21704.6600,21740.0900,7600,0
^BSESN,D,20140324,000000,21827.5000,22074.3400,21827.5000,22055.4800,9000,0
^BSESN,D,20140327,000000,22116.2300,22307.7400,22094.2900,22214.3700,10400,0
^BSESN,D,20140328,000000,22273.4400,22363.9700,22185.1100,22339.9700,9200,0
^BSESN,D,20140401,000000,22455.2300,22485.7700,22295.6500,22446.4400,11000,0
^BSESN,D,20140402,000000,22550.5800,22592.1000,22473.4600,22551.4900,15700,0
^BSESN,D,20140403,000000,22598.1900,22620.6500,22369.2800,22509.0700,7400,0
^BSESN,D,20140404,000000,22522.4600,22525.2100,22339.4000,22359.5000,7100,0
^BSESN,D,20140416,000000,22486.7300,22533.6100,22247.3900,22277.2300,6700,0
